# Impedance of C10-66 
# Multiple resonators fit for h=16
# Author: A. Lasheen
# f_r [Hz]				R_s [Ohm]				Q
5.002369333085197024e+06 -1.815810588235312650e+01 9.137328228675660746e-01
6.992515368276536465e+06 -9.244838225971760437e+01 2.039333983958086627e+00
7.547973711887522601e+06 7.604199553551532063e+02 6.724661522777488187e+00
8.111342148096964695e+06 2.869541859680094831e+02 1.000000000000000000e+01
8.641637104981558397e+06 1.018589978888732617e+02 9.803870186872968517e+00
1.530052409960266203e+07 6.670299762393295850e+01 3.468599499135447406e+00
1.605361706567736901e+07 -7.828155372257683098e+01 9.201113436673594492e+00
2.397018318008511886e+07 1.682930709861180318e+01 1.000000000000000000e+01
4.754405654431962967e+07 9.945218001712879641e+01 2.070389993205281609e+00
