7.26E+06;7.12E+01;-9.36E+00
7.54E+06;7.16E+01;-9.50E+00
7.84E+06;7.15E+01;-1.05E+01
8.14E+06;7.13E+01;-1.07E+01
8.46E+06;7.15E+01;-1.11E+01
8.78E+06;7.08E+01;-1.20E+01
9.12E+06;7.11E+01;-1.28E+01
9.48E+06;7.00E+01;-1.38E+01
9.84E+06;6.98E+01;-1.42E+01
1.02E+07;6.90E+01;-1.44E+01
1.06E+07;6.85E+01;-1.46E+01
1.10E+07;6.71E+01;-1.53E+01
1.15E+07;6.62E+01;-1.60E+01
1.19E+07;6.48E+01;-1.62E+01
1.24E+07;6.44E+01;-1.64E+01
1.28E+07;6.32E+01;-1.64E+01
1.33E+07;6.25E+01;-1.64E+01
1.39E+07;6.22E+01;-1.63E+01
1.44E+07;6.15E+01;-1.56E+01
1.50E+07;6.06E+01;-1.55E+01
1.55E+07;5.98E+01;-1.51E+01
1.61E+07;6.01E+01;-1.49E+01
1.68E+07;5.99E+01;-1.45E+01
1.74E+07;6.00E+01;-1.46E+01
1.81E+07;5.99E+01;-1.45E+01
1.88E+07;6.03E+01;-1.48E+01
1.95E+07;6.07E+01;-1.53E+01
2.03E+07;6.04E+01;-1.61E+01
2.11E+07;6.02E+01;-1.68E+01
2.19E+07;5.98E+01;-1.80E+01
2.27E+07;5.94E+01;-1.87E+01
2.36E+07;5.83E+01;-1.92E+01
2.45E+07;5.73E+01;-1.98E+01
2.55E+07;5.53E+01;-2.01E+01
2.64E+07;5.43E+01;-1.99E+01
2.75E+07;5.38E+01;-1.98E+01
2.85E+07;5.38E+01;-2.02E+01
2.96E+07;5.34E+01;-2.05E+01
3.08E+07;5.13E+01;-2.08E+01
3.20E+07;5.05E+01;-1.97E+01
3.32E+07;4.87E+01;-1.94E+01
3.45E+07;4.79E+01;-1.79E+01
3.58E+07;4.81E+01;-1.52E+01
3.72E+07;4.86E+01;-1.27E+01
3.87E+07;5.07E+01;-9.41E+00
4.02E+07;5.73E+01;-1.18E+01
4.17E+07;6.20E+01;-1.07E+01
4.33E+07;6.71E+01;-1.71E+01
4.50E+07;7.46E+01;-2.47E+01
4.68E+07;7.48E+01;-3.72E+01
4.86E+07;6.82E+01;-4.64E+01
5.05E+07;5.88E+01;-5.63E+01
5.24E+07;4.95E+01;-5.73E+01
5.44E+07;4.38E+01;-5.74E+01
5.65E+07;3.86E+01;-5.79E+01
5.87E+07;3.46E+01;-6.03E+01
6.10E+07;2.82E+01;-5.79E+01
6.34E+07;2.43E+01;-5.65E+01
6.58E+07;1.96E+01;-5.22E+01
6.84E+07;1.72E+01;-4.50E+01
7.10E+07;1.53E+01;-3.54E+01
7.38E+07;1.41E+01;-2.00E+01
7.66E+07;1.39E+01;-1.54E+01
7.96E+07;1.50E+01;4.48E+00
8.27E+07;1.75E+01;7.65E+00
8.59E+07;2.03E+01;8.73E+00
8.92E+07;2.27E+01;5.56E+00
9.27E+07;2.26E+01;-8.03E+00
9.63E+07;1.78E+01;-7.95E+00
100000000;1.74E+01;-3.42E+00
