# Impedance of C10-96 
# Multiple resonators fit for h=16
# Author: A. Lasheen
# f_r [Hz]				R_s [Ohm]				Q
7.197341114965028130e+06 1.657160184253744433e+02 6.480963803155064262e+00
8.013233741480732337e+06 6.819051135022581320e+02 8.057768083753524380e+00
8.045134597220770083e+06 -1.484881424643285470e+02 9.663906989793559221e-01
8.398241315619649366e+06 2.632388881153775060e+02 2.132389983281020918e+00
9.067094555866196752e+06 -9.810374532354589405e+01 9.999944150732076764e+00
9.801608893345227465e+06 -8.374935204493579022e+01 5.638304493009406393e+00
1.542296250522270612e+07 9.414693299021826078e+01 3.755135937811600932e+00
1.591920685658466443e+07 -1.074685342867896196e+02 9.565640391581537116e+00
3.673667081009054184e+07 4.259783664255100888e+01 1.120255956181060553e+00
