# Impedance of C10-96 
# Multiple resonators fit for h=8
# Author: A. Lasheen
# f_r [Hz]				R_s [Ohm]				Q
3.077905101394789759e+06 3.699259289694156791e+02 3.830902502802770559e+00
3.564260193064028397e+06 1.779402293287068460e+04 2.705888517257987846e+00
3.567877527921768837e+06 -1.777283733193804801e+04 2.612050960138442957e+00
4.146836407189598773e+06 9.524492905661136319e+02 4.315903783646289682e+00
4.366807381366634741e+06 2.250977036905816817e+02 5.150450963320473363e+00
4.568015060744904913e+06 1.104210570816605070e+02 9.960145602575865453e+00
4.940567047272793949e+06 9.662581028163479857e+01 9.988994550241489634e+00
6.885334620599504560e+06 6.984948220497427940e+01 7.003892880949290856e+00
8.274289933059529401e+06 -6.285396385300488475e+01 1.000000000000000000e+01
