# Impedance of C10 cavities summed
# Total impedance divided by 10 to have "single" cavity impedance
# Multiple resonators fit for h=16
# Author: A. Lasheen
# f_r [Hz]				R_s [Ohm]				Q
6.891521619218457490e+06 4.626074201055216690e+03 3.446816928084301512e+00
7.032395721885527484e+06 -7.960793368516950068e+03 3.504682090226704183e+00
7.211410567629063502e+06 3.780750775849152888e+03 4.317300534551389291e+00
8.059371436423460022e+06 6.643341097404816082e+02 4.584509672450446160e+00
8.237194387740169652e+06 1.416460746496946044e+01 4.538418052900944133e+00
9.275899060137102380e+06 -3.962275154284807144e+01 4.434790611890149670e+00
1.565354862571292371e+07 2.680931254807313735e+02 3.923402578844024102e+00
1.583582033600368351e+07 -2.738720305278245633e+02 4.985471038843295233e+00
3.706746072618793696e+07 7.088232776267606994e+01 2.173951037120052998e+00
