# Impedance of C10 cavities summed
# Total impedance divided by 10 to have "single" cavity impedance
# Multiple resonators fit for h=8
# Author: A. Lasheen
# f_r [Hz]				R_s [Ohm]				Q
1.803298280690354528e+06 -2.075367157898649140e+01 9.109408443168470981e+00
2.307994665418910794e+06 -4.135047476903930885e+01 7.607668542243521514e+00
3.130771031309451908e+06 1.109920067736084519e+02 7.212977113467007761e+00
3.581633074433819391e+06 1.414873348327753774e+03 2.950610625757070338e+00
4.032916666986815166e+06 1.044023804362102226e+02 9.939102816083149605e+00
4.042656570810291450e+06 -3.993899158221441212e+03 2.153669752245626068e+00
4.163725297483562492e+06 3.758480535411703841e+03 2.481982389738853545e+00
6.804126241500810720e+06 6.563010154421660047e+01 7.741777043683055304e+00
8.184258920302160084e+06 -4.663380453071121678e+01 7.512795451110476641e+00
