# Impedance of C10-66 
# Measurement for h=16
# Author: G. Favia 
# Freq [Hz]		Re(Z) [Ohm]		Im(Z) [Ohm]
0.000000000000000000e+00 1.459140000000000100e+03 -0.000000000000000000e+00
6.250000000000000000e+04 1.127500000000000000e+02 2.977400000000000091e+02
1.250000000000000000e+05 6.027600000000000335e+01 1.442179999999999893e+02
1.875000000000000000e+05 4.780400000000000205e+01 8.510599999999999454e+01
2.500000000000000000e+05 4.017199999999999704e+01 5.143999999999999773e+01
3.125000000000000000e+05 3.224399999999999977e+01 2.828999999999999915e+01
3.750000000000000000e+05 2.204200000000000159e+01 1.123080000000000034e+01
4.375000000000000000e+05 8.426199999999999690e+00 -1.359279999999999933e-01
5.000000000000000000e+05 -8.033200000000000784e+00 -3.532399999999999984e+00
5.625000000000000000e+05 -2.263599999999999923e+01 3.622199999999999864e+00
6.250000000000000000e+05 -2.761199999999999832e+01 1.813899999999999935e+01
6.875000000000000000e+05 -2.125199999999999889e+01 3.025400000000000134e+01
7.500000000000000000e+05 -1.032479999999999976e+01 3.411200000000000188e+01
8.125000000000000000e+05 -1.173820000000000086e+00 3.117200000000000060e+01
8.750000000000000000e+05 3.870999999999999996e+00 2.494399999999999906e+01
9.375000000000000000e+05 4.683799999999999741e+00 1.824040000000000106e+01
1.000000000000000000e+06 2.098800000000000221e+00 1.321840000000000082e+01
1.062500000000000000e+06 -2.016599999999999948e+00 1.139160000000000039e+01
1.125000000000000000e+06 -5.027199999999999669e+00 1.258360000000000056e+01
1.187500000000000000e+06 -5.466199999999999726e+00 1.456339999999999968e+01
1.250000000000000000e+06 -4.284799999999999720e+00 1.515540000000000020e+01
1.312500000000000000e+06 -3.360599999999999810e+00 1.398520000000000074e+01
1.375000000000000000e+06 -3.897600000000000176e+00 1.197560000000000002e+01
1.437500000000000000e+06 -6.153599999999999959e+00 1.041159999999999997e+01
1.500000000000000000e+06 -9.541800000000000281e+00 1.048499999999999943e+01
1.562500000000000000e+06 -1.265160000000000018e+01 1.280780000000000030e+01
1.625000000000000000e+06 -1.378420000000000023e+01 1.665759999999999863e+01
