# Impedance of C10-51 
# Multiple resonators fit for h=16
# Author: A. Lasheen
# f_r [Hz]				R_s [Ohm]				Q
3.026529304552720860e+06 -1.883452965926935008e+01 6.856154313197082573e-01
6.311990079774174839e+06 -7.973041007891524146e+01 2.549979146158271703e+00
6.926949196137942374e+06 -2.720502575373027980e+02 9.771116245361996633e+00
7.000153252685257234e+06 4.034716293795381148e+02 9.908276999271933505e+00
7.384438928068160079e+06 4.656238688700016155e+02 9.591225662635872951e+00
7.843717837000638247e+06 5.635303376568227804e+02 7.015605319214207825e+00
9.236215219601297751e+06 -2.962922824958076973e+01 9.653940673451810284e+00
1.418285746026215144e+07 2.779698091288740258e+01 1.000000000000000000e+01
4.783494674623811245e+07 4.888415816354771692e+01 7.856212053430779996e-01
