# Impedance of C10-81 
# Multiple resonators fit for h=8
# Author: A. Lasheen
# f_r [Hz]				R_s [Ohm]				Q
2.412606896183497738e+06 -2.202179392373192286e+02 1.656127750381853891e+00
3.588385248183751479e+06 6.885704543610806638e+01 9.943448140042608685e+00
3.647438270072705112e+06 4.633450996001380190e+03 1.450780828443836823e+00
3.846781716056126170e+06 -5.651283586151243071e+03 1.540331631889068076e+00
4.059247204063232988e+06 6.375555769966782549e+01 5.208537052082844454e+00
4.135328580924067181e+06 2.056887007588406050e+03 2.582728108391196820e+00
6.368863964334805496e+06 5.948503715333622210e+01 4.751932859725100045e+00
7.758293024091464467e+06 -9.366099577004554533e+01 5.608114898977328622e+00
1.988526420018566400e+07 -2.465622814782867067e+01 1.229103839337728710e+00
