# Impedance of C10-91 
# Measurement for h=21
# Author: G. Favia 
# Freq [Hz]		Re(Z) [Ohm]		Im(Z) [Ohm]
0.000000000000000000e+00 1.717220000000000027e+03 -0.000000000000000000e+00
6.250000000000000000e+04 8.253199999999999648e+01 2.848999999999999773e+02
1.250000000000000000e+05 4.275800000000000267e+01 1.354739999999999895e+02
1.875000000000000000e+05 3.357800000000000296e+01 7.909000000000000341e+01
2.500000000000000000e+05 2.817000000000000171e+01 4.714399999999999835e+01
3.125000000000000000e+05 2.280600000000000094e+01 2.521999999999999886e+01
3.750000000000000000e+05 1.618359999999999843e+01 8.764799999999999258e+00
4.375000000000000000e+05 7.518399999999999750e+00 -3.506600000000000161e+00
5.000000000000000000e+05 -3.435000000000000053e+00 -1.104020000000000046e+01
5.625000000000000000e+05 -1.542479999999999940e+01 -1.208719999999999928e+01
6.250000000000000000e+05 -2.448799999999999955e+01 -5.676599999999999646e+00
6.875000000000000000e+05 -2.568799999999999883e+01 4.828800000000000203e+00
7.500000000000000000e+05 -1.884659999999999869e+01 1.246739999999999959e+01
8.125000000000000000e+05 -9.220399999999999707e+00 1.341760000000000019e+01
8.750000000000000000e+05 -1.694379999999999997e+00 8.982400000000000162e+00
9.375000000000000000e+05 1.770359999999999934e+00 2.147800000000000153e+00
1.000000000000000000e+06 1.058780000000000054e+00 -4.476600000000000357e+00
1.062500000000000000e+06 -2.996399999999999952e+00 -8.762000000000000455e+00
1.125000000000000000e+06 -8.547200000000000131e+00 -9.077999999999999403e+00
1.187500000000000000e+06 -1.271059999999999945e+01 -5.177800000000000402e+00
1.250000000000000000e+06 -1.296720000000000006e+01 8.375399999999999512e-01
1.312500000000000000e+06 -9.255399999999999849e+00 5.602999999999999758e+00
1.375000000000000000e+06 -3.860399999999999832e+00 7.066399999999999793e+00
1.437500000000000000e+06 6.630000000000000338e-01 5.371400000000000396e+00
1.500000000000000000e+06 2.768800000000000150e+00 1.896719999999999962e+00
1.562500000000000000e+06 1.953640000000000043e+00 -1.649620000000000086e+00
1.625000000000000000e+06 -1.399459999999999926e+00 -3.561599999999999877e+00
1.687500000000000000e+06 -5.913800000000000168e+00 -2.460399999999999920e+00
1.750000000000000000e+06 -9.324600000000000222e+00 1.902539999999999898e+00
1.812500000000000000e+06 -9.619199999999999307e+00 7.922799999999999621e+00
1.875000000000000000e+06 -6.647800000000000153e+00 1.293880000000000052e+01
1.937500000000000000e+06 -2.172800000000000065e+00 1.518880000000000052e+01
2.000000000000000000e+06 1.658379999999999965e+00 1.467420000000000080e+01
2.062500000000000000e+06 3.463600000000000012e+00 1.254599999999999937e+01
2.125000000000000000e+06 2.820199999999999818e+00 1.031859999999999999e+01
2.187500000000000000e+06 1.639680000000000026e-01 9.442000000000000171e+00
2.250000000000000000e+06 -3.254999999999999893e+00 1.092619999999999969e+01
