# Impedance of C10-86 
# Measurement for h=16
# Author: G. Favia 
# Freq [Hz]		Re(Z) [Ohm]		Im(Z) [Ohm]
0.000000000000000000e+00 1.007060000000000036e+04 -0.000000000000000000e+00
6.250000000000000000e+04 1.274820000000000064e+01 2.147199999999999989e+02
1.250000000000000000e+05 8.884399999999999409e+00 1.054899999999999949e+02
1.875000000000000000e+05 7.590399999999999814e+00 6.833199999999999363e+01
2.500000000000000000e+05 6.441799999999999748e+00 4.935799999999999699e+01
3.125000000000000000e+05 5.144000000000000128e+00 3.787599999999999767e+01
3.750000000000000000e+05 3.664400000000000102e+00 3.044800000000000040e+01
4.375000000000000000e+05 2.119200000000000195e+00 2.574200000000000088e+01
5.000000000000000000e+05 8.511400000000000077e-01 2.320799999999999841e+01
5.625000000000000000e+05 5.349800000000000111e-01 2.240599999999999881e+01
6.250000000000000000e+05 1.972720000000000029e+00 2.236599999999999966e+01
6.875000000000000000e+05 5.147199999999999775e+00 2.138200000000000145e+01
7.500000000000000000e+05 8.519399999999999196e+00 1.827179999999999893e+01
8.125000000000000000e+05 1.034619999999999962e+01 1.360500000000000043e+01
8.750000000000000000e+05 1.012700000000000067e+01 8.760999999999999233e+00
9.375000000000000000e+05 8.257199999999999207e+00 4.709399999999999586e+00
1.000000000000000000e+06 5.307599999999999874e+00 1.919240000000000057e+00
1.062500000000000000e+06 1.841779999999999973e+00 6.306399999999999784e-01
1.125000000000000000e+06 -1.486339999999999995e+00 9.151799999999999935e-01
1.187500000000000000e+06 -3.937399999999999789e+00 2.480799999999999894e+00
1.250000000000000000e+06 -5.046800000000000175e+00 4.521799999999999820e+00
1.312500000000000000e+06 -5.085399999999999920e+00 6.088400000000000034e+00
1.375000000000000000e+06 -4.910000000000000142e+00 6.790399999999999991e+00
1.437500000000000000e+06 -5.274000000000000021e+00 6.980999999999999872e+00
1.500000000000000000e+06 -6.410000000000000142e+00 7.353799999999999670e+00
1.562500000000000000e+06 -8.048799999999999955e+00 8.544399999999999551e+00
1.625000000000000000e+06 -9.548400000000000887e+00 1.091000000000000014e+01
1.687500000000000000e+06 -1.004659999999999975e+01 1.431859999999999999e+01
1.750000000000000000e+06 -8.834799999999999542e+00 1.794239999999999924e+01
1.812500000000000000e+06 -6.004199999999999982e+00 2.045200000000000173e+01
1.875000000000000000e+06 -2.730799999999999894e+00 2.089399999999999835e+01
1.937500000000000000e+06 -5.489199999999999635e-01 1.949200000000000088e+01
2.000000000000000000e+06 -3.318999999999999728e-01 1.739639999999999986e+01
2.062500000000000000e+06 -2.027600000000000069e+00 1.587860000000000049e+01
2.125000000000000000e+06 -4.966000000000000192e+00 1.584919999999999973e+01
2.187500000000000000e+06 -8.154799999999999827e+00 1.773320000000000007e+01
2.250000000000000000e+06 -1.047080000000000055e+01 2.137399999999999878e+01
2.312500000000000000e+06 -1.099080000000000013e+01 2.590800000000000125e+01
2.375000000000000000e+06 -9.541000000000000369e+00 2.993400000000000105e+01
2.437500000000000000e+06 -7.022800000000000153e+00 3.222800000000000153e+01
2.500000000000000000e+06 -4.953400000000000247e+00 3.254800000000000182e+01
2.562500000000000000e+06 -4.538400000000000212e+00 3.173000000000000043e+01
2.625000000000000000e+06 -6.125399999999999956e+00 3.108800000000000097e+01
2.687500000000000000e+06 -9.229799999999999116e+00 3.180999999999999872e+01
2.750000000000000000e+06 -1.277120000000000033e+01 3.459000000000000341e+01
2.812500000000000000e+06 -1.537540000000000084e+01 3.935799999999999699e+01
2.875000000000000000e+06 -1.590479999999999983e+01 4.510000000000000142e+01
2.937500000000000000e+06 -1.418399999999999928e+01 5.015400000000000347e+01
3.000000000000000000e+06 -1.129180000000000028e+01 5.316199999999999903e+01
3.062500000000000000e+06 -8.909800000000000608e+00 5.391599999999999682e+01
3.125000000000000000e+06 -8.311600000000000321e+00 5.332999999999999829e+01
3.187500000000000000e+06 -9.876799999999999358e+00 5.277400000000000091e+01
3.250000000000000000e+06 -1.316280000000000072e+01 5.350200000000000244e+01
3.312500000000000000e+06 -1.711939999999999884e+01 5.633400000000000318e+01
3.375000000000000000e+06 -2.030600000000000094e+01 6.139000000000000057e+01
3.437500000000000000e+06 -2.132999999999999829e+01 6.780200000000000671e+01
3.500000000000000000e+06 -1.964359999999999928e+01 7.379600000000000648e+01
3.562500000000000000e+06 -1.615739999999999910e+01 7.759799999999999898e+01
3.625000000000000000e+06 -1.278819999999999979e+01 7.861400000000000432e+01
