# Impedance of C10-56 
# Multiple resonators fit for h=8
# Author: A. Lasheen
# f_r [Hz]				R_s [Ohm]				Q
3.259286340961397160e+06 2.855336587411311939e+03 2.996722577150770839e+00
3.406650849578350317e+06 1.830223837106701012e+03 3.683360119723771309e+00
3.423728698939052410e+06 -5.388592490473914040e+03 2.752642399130558637e+00
3.609456044897216838e+06 1.464262496380257289e+03 4.223679867263516741e+00
3.891339355783686973e+06 6.448273357690824881e+00 9.721712697887630483e+00
3.979295126000727993e+06 4.148893774544193320e+02 5.031291261514740931e+00
4.289466223637122661e+06 7.525659324170054560e+02 3.657126038050121597e+00
4.926878750411748886e+06 6.878398396723349606e+01 7.050305129957183503e+00
6.717087416198807769e+06 7.963427072943839846e+01 8.786232668882080432e+00
