# Impedance of C10-56 
# Multiple resonators fit for h=21
# Author: A. Lasheen
# f_r [Hz]				R_s [Ohm]				Q
9.110016146022919565e+06 2.602579762214552943e+02 4.049151574544345600e+00
9.826440471714798361e+06 3.138458331506009927e+03 5.900913730051082773e+00
9.941092951308608055e+06 -3.326424165146755968e+03 4.684130272769027492e+00
1.048081589181342162e+07 7.878734550015533387e+02 7.828174143409290409e+00
1.075537507765019126e+07 3.238408943699387237e+02 3.636172149661171638e+00
1.185337708994035237e+07 -7.575549062570539149e+01 7.867224453907367909e+00
1.997426901661449671e+07 -5.378332990751044207e+01 1.000000000000000000e+01
2.052854600947429985e+07 1.385795803204110257e+02 4.967795489436306333e+00
2.068504594315896928e+07 -1.455183271991682261e+02 1.000000000000000000e+01
