# Impedance of C10-11 
# Multiple resonators fit for h=21
# Author: A. Lasheen
# f_r [Hz]				R_s [Ohm]				Q
9.179421316118530929e+06 2.835542672517728988e+02 1.000000000000000000e+01
9.727404669041393325e+06 2.136841355232037643e+02 8.584292804824526613e+00
1.071901342456701212e+07 3.821614795146094821e+02 7.215166696454690332e+00
1.199434295085291378e+07 -2.434242032421474278e+01 9.990215947108422867e+00
1.910189829156079888e+07 2.403708721197026676e+01 1.000000000000000000e+01
2.076579760485745221e+07 -7.338495139066941420e+01 7.912484643072010826e+00
2.094514098935030028e+07 1.498110103328440800e+03 6.642829286703659797e-01
2.100053673153357953e+07 -3.661250927518085518e+03 5.517278489103163430e-01
2.135321125436286256e+07 2.191690855588609338e+03 5.000000000000000000e-01
