# Impedance of C10-11 
# Multiple resonators fit for h=16
# Author: A. Lasheen
# f_r [Hz]				R_s [Ohm]				Q
6.765651740971665829e+06 1.189487419241549162e+02 1.000000000000000000e+01
7.066877091443814337e+06 2.957055549364772560e+02 1.000000000000000000e+01
7.491573161460428499e+06 1.869109460443398518e+02 1.000000000000000000e+01
8.021645949664964341e+06 2.980908383560418997e+02 1.000000000000000000e+01
8.495248778451258317e+06 2.472555617676665918e+02 8.789320263055795834e+00
1.015097749845778011e+07 -3.160567948915869607e+01 5.109915227992710918e+00
1.624739460776459053e+07 -3.270768096161800997e+01 1.000000000000000000e+01
2.755692310665507242e+07 -8.197845070331642603e+01 9.966042603844574188e+00
4.498588748055602610e+07 6.531345136013989361e+01 1.060229200843586295e+00
