# Impedance of C10-76 
# Measurement for h=16
# Author: G. Favia 
# Freq [Hz]		Re(Z) [Ohm]		Im(Z) [Ohm]
0.000000000000000000e+00 9.366400000000000000e+04 -0.000000000000000000e+00
6.250000000000000000e+04 5.095799999999999841e+01 2.653199999999999932e+02
1.250000000000000000e+05 5.011999999999999744e+01 1.288760000000000048e+02
1.875000000000000000e+05 4.950999999999999801e+01 8.138800000000000523e+01
2.500000000000000000e+05 4.860999999999999943e+01 5.575399999999999778e+01
3.125000000000000000e+05 4.714999999999999858e+01 3.841199999999999903e+01
3.750000000000000000e+05 4.472200000000000131e+01 2.476200000000000045e+01
4.375000000000000000e+05 4.066400000000000148e+01 1.291539999999999999e+01
5.000000000000000000e+05 3.400800000000000267e+01 2.416799999999999837e+00
5.625000000000000000e+05 2.383999999999999986e+01 -5.717800000000000438e+00
6.250000000000000000e+05 1.060379999999999967e+01 -8.994999999999999218e+00
6.875000000000000000e+05 -2.325000000000000178e+00 -5.377799999999999692e+00
7.500000000000000000e+05 -1.038359999999999950e+01 3.370800000000000018e+00
8.125000000000000000e+05 -1.230739999999999945e+01 1.263359999999999950e+01
8.750000000000000000e+05 -1.027180000000000071e+01 1.932319999999999993e+01
9.375000000000000000e+05 -6.769800000000000040e+00 2.293799999999999883e+01
1.000000000000000000e+06 -3.256200000000000205e+00 2.407999999999999829e+01
1.062500000000000000e+06 -4.154399999999999760e-01 2.344800000000000040e+01
1.125000000000000000e+06 1.379499999999999948e+00 2.162399999999999878e+01
1.187500000000000000e+06 1.895420000000000105e+00 1.920499999999999829e+01
1.250000000000000000e+06 1.146840000000000082e+00 1.686759999999999948e+01
1.312500000000000000e+06 -4.965600000000000014e-01 1.516499999999999915e+01
1.375000000000000000e+06 -2.501799999999999802e+00 1.428880000000000017e+01
1.437500000000000000e+06 -4.477400000000000269e+00 1.413160000000000061e+01
1.500000000000000000e+06 -6.245400000000000063e+00 1.453120000000000012e+01
1.562500000000000000e+06 -7.713199999999999612e+00 1.540060000000000073e+01
1.625000000000000000e+06 -8.741799999999999571e+00 1.669399999999999906e+01
1.687500000000000000e+06 -9.110200000000000742e+00 1.827179999999999893e+01
1.750000000000000000e+06 -8.649399999999999977e+00 1.976820000000000022e+01
1.812500000000000000e+06 -7.511400000000000077e+00 2.065800000000000125e+01
1.875000000000000000e+06 -6.264000000000000234e+00 2.062800000000000011e+01
1.937500000000000000e+06 -5.559000000000000163e+00 1.986380000000000123e+01
2.000000000000000000e+06 -5.735800000000000232e+00 1.890020000000000167e+01
2.062500000000000000e+06 -6.761599999999999611e+00 1.829520000000000124e+01
2.125000000000000000e+06 -8.368000000000000327e+00 1.847400000000000020e+01
2.187500000000000000e+06 -1.013260000000000005e+01 1.970459999999999923e+01
2.250000000000000000e+06 -1.149939999999999962e+01 2.204200000000000159e+01
2.312500000000000000e+06 -1.187299999999999933e+01 2.519399999999999906e+01
2.375000000000000000e+06 -1.090080000000000027e+01 2.845799999999999841e+01
2.437500000000000000e+06 -8.798799999999999955e+00 3.098600000000000065e+01
2.500000000000000000e+06 -6.323000000000000398e+00 3.228199999999999648e+01
2.562500000000000000e+06 -4.310599999999999987e+00 3.247399999999999665e+01
2.625000000000000000e+06 -3.261000000000000121e+00 3.211200000000000188e+01
2.687500000000000000e+06 -3.245400000000000063e+00 3.182000000000000028e+01
2.750000000000000000e+06 -4.017599999999999838e+00 3.208400000000000318e+01
2.812500000000000000e+06 -5.147599999999999731e+00 3.314600000000000080e+01
2.875000000000000000e+06 -6.170399999999999885e+00 3.494800000000000040e+01
2.937500000000000000e+06 -6.785800000000000054e+00 3.715400000000000347e+01
3.000000000000000000e+06 -7.012800000000000367e+00 3.933800000000000097e+01
3.062500000000000000e+06 -7.142999999999999794e+00 4.124600000000000222e+01
3.125000000000000000e+06 -7.519999999999999574e+00 4.291199999999999903e+01
3.187500000000000000e+06 -8.341599999999999682e+00 4.457800000000000296e+01
3.250000000000000000e+06 -9.584600000000000009e+00 4.654999999999999716e+01
3.312500000000000000e+06 -1.101720000000000077e+01 4.905199999999999960e+01
3.375000000000000000e+06 -1.226919999999999966e+01 5.210999999999999943e+01
3.437500000000000000e+06 -1.299479999999999968e+01 5.546600000000000108e+01
3.500000000000000000e+06 -1.311539999999999928e+01 5.862400000000000233e+01
3.562500000000000000e+06 -1.295500000000000007e+01 6.115599999999999881e+01
3.625000000000000000e+06 -1.305940000000000012e+01 6.300399999999999778e+01
3.687500000000000000e+06 -1.383919999999999995e+01 6.451200000000000045e+01
3.750000000000000000e+06 -1.536400000000000077e+01 6.618399999999999750e+01
3.812500000000000000e+06 -1.738240000000000052e+01 6.845399999999999352e+01
3.875000000000000000e+06 -1.943299999999999983e+01 7.154000000000000625e+01
3.937500000000000000e+06 -2.097800000000000153e+01 7.535200000000000387e+01
4.000000000000000000e+06 -2.159400000000000119e+01 7.946800000000000352e+01
4.062500000000000000e+06 -2.121600000000000108e+01 8.322599999999999909e+01
4.125000000000000000e+06 -2.026399999999999935e+01 8.604399999999999693e+01
4.187500000000000000e+06 -1.949380000000000024e+01 8.778000000000000114e+01
4.250000000000000000e+06 -1.956159999999999854e+01 8.884799999999999898e+01
4.312500000000000000e+06 -2.069800000000000040e+01 8.998799999999999955e+01
4.375000000000000000e+06 -2.263599999999999923e+01 9.191200000000000614e+01
4.437500000000000000e+06 -2.473799999999999955e+01 9.503400000000000603e+01
4.500000000000000000e+06 -2.623199999999999932e+01 9.931199999999999761e+01
4.562500000000000000e+06 -2.651800000000000068e+01 1.042099999999999937e+02
4.625000000000000000e+06 -2.548400000000000176e+01 1.089020000000000010e+02
4.687500000000000000e+06 -2.362399999999999878e+01 1.126839999999999975e+02
4.750000000000000000e+06 -2.178399999999999892e+01 1.153700000000000045e+02
4.812500000000000000e+06 -2.070799999999999841e+01 1.173739999999999952e+02
4.875000000000000000e+06 -2.071399999999999864e+01 1.194519999999999982e+02
4.937500000000000000e+06 -2.161799999999999855e+01 1.223780000000000001e+02
5.000000000000000000e+06 -2.285200000000000031e+01 1.266719999999999970e+02
5.062500000000000000e+06 -2.365200000000000102e+01 1.324480000000000075e+02
5.125000000000000000e+06 -2.332400000000000162e+01 1.393319999999999936e+02
5.187500000000000000e+06 -2.156200000000000117e+01 1.465900000000000034e+02
5.250000000000000000e+06 -1.863459999999999894e+01 1.534600000000000080e+02
5.312500000000000000e+06 -1.525000000000000000e+01 1.595860000000000127e+02
5.375000000000000000e+06 -1.214080000000000048e+01 1.651899999999999977e+02
5.437500000000000000e+06 -9.670199999999999463e+00 1.709000000000000057e+02
5.500000000000000000e+06 -7.706599999999999895e+00 1.773760000000000048e+02
5.562500000000000000e+06 -5.759800000000000253e+00 1.850080000000000098e+02
5.625000000000000000e+06 -3.254799999999999915e+00 1.937659999999999911e+02
5.687500000000000000e+06 1.765559999999999907e-01 2.032599999999999909e+02
5.750000000000000000e+06 4.506400000000000183e+00 2.130200000000000102e+02
5.812500000000000000e+06 9.338200000000000500e+00 2.227400000000000091e+02
5.875000000000000000e+06 1.416019999999999968e+01 2.325600000000000023e+02
5.937500000000000000e+06 1.869040000000000035e+01 2.430200000000000102e+02
6.000000000000000000e+06 2.312600000000000122e+01 2.548600000000000136e+02
6.062500000000000000e+06 2.817000000000000171e+01 2.685600000000000023e+02
6.125000000000000000e+06 3.481400000000000006e+01 2.841200000000000045e+02
6.187500000000000000e+06 4.389399999999999835e+01 3.008399999999999750e+02
6.250000000000000000e+06 5.563400000000000034e+01 3.176800000000000068e+02
6.312500000000000000e+06 6.949800000000000466e+01 3.337400000000000091e+02
6.375000000000000000e+06 8.456000000000000227e+01 3.488600000000000136e+02
6.437500000000000000e+06 1.001599999999999966e+02 3.636800000000000068e+02
6.500000000000000000e+06 1.164099999999999966e+02 3.792799999999999727e+02
6.562500000000000000e+06 1.343400000000000034e+02 3.965600000000000023e+02
6.625000000000000000e+06 1.557019999999999982e+02 4.156399999999999864e+02
6.687500000000000000e+06 1.824579999999999984e+02 4.355600000000000023e+02
6.750000000000000000e+06 2.160200000000000102e+02 4.540799999999999841e+02
6.812500000000000000e+06 2.563999999999999773e+02 4.681800000000000068e+02
6.875000000000000000e+06 3.020199999999999818e+02 4.752200000000000273e+02
6.937500000000000000e+06 3.503600000000000136e+02 4.738600000000000136e+02
7.000000000000000000e+06 3.990799999999999841e+02 4.640199999999999818e+02
7.062500000000000000e+06 4.466200000000000045e+02 4.462599999999999909e+02
7.125000000000000000e+06 4.919200000000000159e+02 4.208000000000000114e+02
7.187500000000000000e+06 5.336599999999999682e+02 3.874599999999999795e+02
7.250000000000000000e+06 5.695199999999999818e+02 3.463600000000000136e+02
7.312500000000000000e+06 5.966000000000000227e+02 2.989800000000000182e+02
7.375000000000000000e+06 6.126599999999999682e+02 2.489199999999999875e+02
7.437500000000000000e+06 6.178600000000000136e+02 2.009399999999999977e+02
7.500000000000000000e+06 6.151399999999999864e+02 1.591020000000000039e+02
7.562500000000000000e+06 6.091599999999999682e+02 1.249180000000000064e+02
7.625000000000000000e+06 6.042000000000000455e+02 9.719199999999999307e+01
7.687500000000000000e+06 6.029800000000000182e+02 7.287199999999999989e+01
7.750000000000000000e+06 6.061399999999999864e+02 4.821600000000000108e+01
7.812500000000000000e+06 6.121599999999999682e+02 1.987659999999999982e+01
7.875000000000000000e+06 6.179800000000000182e+02 -1.405119999999999969e+01
7.937500000000000000e+06 6.199400000000000546e+02 -5.317600000000000193e+01
8.000000000000000000e+06 6.155599999999999454e+02 -9.492000000000000171e+01
8.062500000000000000e+06 6.047599999999999909e+02 -1.360200000000000102e+02
8.125000000000000000e+06 5.893600000000000136e+02 -1.744699999999999989e+02
8.187500000000000000e+06 5.714800000000000182e+02 -2.103000000000000114e+02
8.250000000000000000e+06 5.519600000000000364e+02 -2.448199999999999932e+02
8.312500000000000000e+06 5.300000000000000000e+02 -2.793199999999999932e+02
8.375000000000000000e+06 5.036600000000000250e+02 -3.137799999999999727e+02
8.437500000000000000e+06 4.711800000000000068e+02 -3.463600000000000136e+02
8.500000000000000000e+06 4.323199999999999932e+02 -3.738199999999999932e+02
8.562500000000000000e+06 3.892400000000000091e+02 -3.929800000000000182e+02
8.625000000000000000e+06 3.458600000000000136e+02 -4.025799999999999841e+02
8.687500000000000000e+06 3.060400000000000205e+02 -4.040000000000000000e+02
8.750000000000000000e+06 2.718999999999999773e+02 -4.003199999999999932e+02
8.812500000000000000e+06 2.433400000000000034e+02 -3.948600000000000136e+02
8.875000000000000000e+06 2.185800000000000125e+02 -3.898600000000000136e+02
8.937500000000000000e+06 1.952760000000000105e+02 -3.858199999999999932e+02
9.000000000000000000e+06 1.715459999999999923e+02 -3.816600000000000250e+02
9.062500000000000000e+06 1.470240000000000009e+02 -3.753000000000000114e+02
9.125000000000000000e+06 1.230420000000000016e+02 -3.651600000000000250e+02
9.187500000000000000e+06 1.017860000000000014e+02 -3.511000000000000227e+02
9.250000000000000000e+06 8.494199999999999307e+01 -3.345199999999999818e+02
9.312500000000000000e+06 7.289600000000000080e+01 -3.175199999999999818e+02
9.375000000000000000e+06 6.485599999999999454e+01 -3.018199999999999932e+02
9.437500000000000000e+06 5.942000000000000171e+01 -2.883399999999999750e+02
9.500000000000000000e+06 5.514399999999999835e+01 -2.771600000000000250e+02
9.562500000000000000e+06 5.094800000000000040e+01 -2.676600000000000250e+02
9.625000000000000000e+06 4.636999999999999744e+01 -2.589200000000000159e+02
9.687500000000000000e+06 4.160799999999999699e+01 -2.501399999999999864e+02
9.750000000000000000e+06 3.726200000000000045e+01 -2.409399999999999977e+02
9.812500000000000000e+06 3.388199999999999790e+01 -2.315600000000000023e+02
9.875000000000000000e+06 3.161199999999999832e+01 -2.225800000000000125e+02
9.937500000000000000e+06 3.014399999999999835e+01 -2.144399999999999977e+02
1.000000000000000000e+07 2.892000000000000171e+01 -2.073000000000000114e+02
1.006300000000000000e+07 2.743400000000000105e+01 -2.008799999999999955e+02
1.012500000000000000e+07 2.550600000000000023e+01 -1.946380000000000052e+02
1.018800000000000000e+07 2.339199999999999946e+01 -1.880660000000000025e+02
1.025000000000000000e+07 2.165200000000000102e+01 -1.809960000000000093e+02
1.031300000000000000e+07 2.081800000000000139e+01 -1.737239999999999895e+02
1.037500000000000000e+07 2.109600000000000009e+01 -1.668559999999999945e+02
1.043800000000000000e+07 2.224800000000000111e+01 -1.610140000000000100e+02
1.050000000000000000e+07 2.369999999999999929e+01 -1.565840000000000032e+02
1.056300000000000000e+07 2.472200000000000131e+01 -1.535759999999999934e+02
1.062500000000000000e+07 2.464399999999999835e+01 -1.515680000000000121e+02
1.068800000000000000e+07 2.310800000000000054e+01 -1.497599999999999909e+02
1.075000000000000000e+07 2.033800000000000097e+01 -1.472059999999999889e+02
1.081300000000000000e+07 1.714659999999999940e+01 -1.432800000000000011e+02
1.087500000000000000e+07 1.458619999999999983e+01 -1.380360000000000014e+02
1.093800000000000000e+07 1.338080000000000069e+01 -1.321740000000000066e+02
1.100000000000000000e+07 1.364020000000000010e+01 -1.266099999999999994e+02
1.106300000000000000e+07 1.496039999999999992e+01 -1.220499999999999972e+02
1.112500000000000000e+07 1.669800000000000040e+01 -1.188239999999999981e+02
1.118800000000000000e+07 1.819920000000000115e+01 -1.168859999999999957e+02
1.125000000000000000e+07 1.895220000000000127e+01 -1.158960000000000008e+02
1.131300000000000000e+07 1.869739999999999824e+01 -1.153220000000000027e+02
1.137500000000000000e+07 1.749360000000000070e+01 -1.145960000000000036e+02
1.143800000000000000e+07 1.568219999999999992e+01 -1.133040000000000020e+02
1.150000000000000000e+07 1.372220000000000084e+01 -1.113220000000000027e+02
1.156300000000000000e+07 1.197940000000000005e+01 -1.087900000000000063e+02
1.162500000000000000e+07 1.060979999999999990e+01 -1.059519999999999982e+02
1.168800000000000000e+07 9.595399999999999707e+00 -1.029959999999999951e+02
1.175000000000000000e+07 8.873200000000000642e+00 -9.997400000000000375e+01
1.181300000000000000e+07 8.453400000000000247e+00 -9.685200000000000387e+01
1.187500000000000000e+07 8.452999999999999403e+00 -9.362999999999999545e+01
1.193800000000000000e+07 9.025399999999999423e+00 -9.043800000000000239e+01
