# Impedance of C10-76 
# Measurement for h=21
# Author: G. Favia 
# Freq [Hz]		Re(Z) [Ohm]		Im(Z) [Ohm]
0.000000000000000000e+00 -7.700399999999999636e+03 -0.000000000000000000e+00
6.250000000000000000e+04 3.485999999999999943e+01 2.893000000000000114e+02
1.250000000000000000e+05 4.313799999999999812e+01 1.394900000000000091e+02
1.875000000000000000e+05 4.454200000000000159e+01 8.668000000000000682e+01
2.500000000000000000e+05 4.467600000000000193e+01 5.767999999999999972e+01
3.125000000000000000e+05 4.393599999999999994e+01 3.762599999999999767e+01
3.750000000000000000e+05 4.194800000000000040e+01 2.145799999999999841e+01
4.375000000000000000e+05 3.783800000000000097e+01 7.146600000000000286e+00
5.000000000000000000e+05 3.031800000000000139e+01 -5.561600000000000321e+00
5.625000000000000000e+05 1.833780000000000143e+01 -1.494660000000000011e+01
6.250000000000000000e+05 3.115200000000000191e+00 -1.759479999999999933e+01
6.875000000000000000e+05 -1.029480000000000040e+01 -1.171119999999999983e+01
7.500000000000000000e+05 -1.671600000000000108e+01 -8.672600000000000309e-01
8.125000000000000000e+05 -1.601980000000000004e+01 9.125000000000000000e+00
8.750000000000000000e+05 -1.147080000000000055e+01 1.532840000000000025e+01
9.375000000000000000e+05 -5.985999999999999766e+00 1.766679999999999851e+01
1.000000000000000000e+06 -1.233200000000000074e+00 1.702359999999999829e+01
1.062500000000000000e+06 1.851739999999999942e+00 1.439760000000000062e+01
1.125000000000000000e+06 2.715199999999999836e+00 1.092179999999999929e+01
1.187500000000000000e+06 1.370999999999999996e+00 7.963599999999999568e+00
1.250000000000000000e+06 -1.268699999999999939e+00 6.683600000000000207e+00
1.312500000000000000e+06 -3.766799999999999926e+00 7.267400000000000304e+00
1.375000000000000000e+06 -5.148200000000000109e+00 8.914999999999999147e+00
1.437500000000000000e+06 -5.316799999999999748e+00 1.064020000000000010e+01
1.500000000000000000e+06 -4.695400000000000240e+00 1.184239999999999959e+01
1.562500000000000000e+06 -3.802200000000000024e+00 1.234120000000000061e+01
1.625000000000000000e+06 -3.063600000000000101e+00 1.223739999999999917e+01
1.687500000000000000e+06 -2.739799999999999791e+00 1.181060000000000088e+01
1.750000000000000000e+06 -2.850400000000000045e+00 1.141060000000000052e+01
1.812500000000000000e+06 -3.173599999999999977e+00 1.125859999999999950e+01
1.875000000000000000e+06 -3.447599999999999998e+00 1.129860000000000042e+01
1.937500000000000000e+06 -3.616200000000000081e+00 1.130359999999999943e+01
2.000000000000000000e+06 -3.853000000000000203e+00 1.111800000000000033e+01
2.062500000000000000e+06 -4.416199999999999903e+00 1.078659999999999997e+01
2.125000000000000000e+06 -5.500200000000000422e+00 1.055540000000000056e+01
2.187500000000000000e+06 -7.111799999999999677e+00 1.081719999999999970e+01
2.250000000000000000e+06 -8.957000000000000739e+00 1.197560000000000002e+01
2.312500000000000000e+06 -1.043280000000000030e+01 1.418919999999999959e+01
2.375000000000000000e+06 -1.088240000000000052e+01 1.712679999999999936e+01
2.437500000000000000e+06 -1.002519999999999989e+01 2.003999999999999915e+01
2.500000000000000000e+06 -8.149399999999999977e+00 2.219000000000000128e+01
2.562500000000000000e+06 -5.896200000000000330e+00 2.321000000000000085e+01
2.625000000000000000e+06 -3.927200000000000024e+00 2.317000000000000171e+01
2.687500000000000000e+06 -2.721999999999999975e+00 2.244999999999999929e+01
2.750000000000000000e+06 -2.478400000000000158e+00 2.160600000000000165e+01
2.812500000000000000e+06 -3.029599999999999849e+00 2.122599999999999909e+01
2.875000000000000000e+06 -3.858600000000000030e+00 2.165599999999999881e+01
2.937500000000000000e+06 -4.352800000000000225e+00 2.278399999999999892e+01
3.000000000000000000e+06 -4.183799999999999741e+00 2.411400000000000077e+01
3.062500000000000000e+06 -3.466600000000000126e+00 2.511199999999999832e+01
3.125000000000000000e+06 -2.609599999999999920e+00 2.549200000000000088e+01
3.187500000000000000e+06 -2.079000000000000181e+00 2.528600000000000136e+01
3.250000000000000000e+06 -2.229600000000000026e+00 2.479799999999999827e+01
3.312500000000000000e+06 -3.180600000000000094e+00 2.451599999999999824e+01
3.375000000000000000e+06 -4.700400000000000134e+00 2.495400000000000063e+01
3.437500000000000000e+06 -6.208999999999999631e+00 2.638400000000000034e+01
3.500000000000000000e+06 -7.042799999999999727e+00 2.858999999999999986e+01
3.562500000000000000e+06 -6.873999999999999666e+00 3.093599999999999994e+01
3.625000000000000000e+06 -5.894999999999999574e+00 3.276400000000000290e+01
3.687500000000000000e+06 -4.634800000000000253e+00 3.374199999999999733e+01
3.750000000000000000e+06 -3.654399999999999871e+00 3.393200000000000216e+01
3.812500000000000000e+06 -3.337200000000000166e+00 3.369400000000000261e+01
3.875000000000000000e+06 -3.775999999999999801e+00 3.352199999999999847e+01
3.937500000000000000e+06 -4.733600000000000030e+00 3.387199999999999989e+01
4.000000000000000000e+06 -5.728200000000000180e+00 3.492999999999999972e+01
4.062500000000000000e+06 -6.282399999999999984e+00 3.649799999999999756e+01
4.125000000000000000e+06 -6.204799999999999649e+00 3.810999999999999943e+01
4.187500000000000000e+06 -5.682599999999999874e+00 3.932399999999999807e+01
4.250000000000000000e+06 -5.145199999999999996e+00 3.995600000000000307e+01
4.312500000000000000e+06 -5.036400000000000432e+00 4.015599999999999881e+01
4.375000000000000000e+06 -5.609799999999999898e+00 4.035799999999999699e+01
4.437500000000000000e+06 -6.768600000000000172e+00 4.110600000000000165e+01
4.500000000000000000e+06 -8.017799999999999372e+00 4.279200000000000159e+01
4.562500000000000000e+06 -8.650800000000000267e+00 4.535999999999999943e+01
4.625000000000000000e+06 -8.164799999999999613e+00 4.823599999999999710e+01
4.687500000000000000e+06 -6.589400000000000368e+00 5.064000000000000057e+01
4.750000000000000000e+06 -4.449200000000000266e+00 5.202199999999999847e+01
4.812500000000000000e+06 -2.461800000000000210e+00 5.228000000000000114e+01
4.875000000000000000e+06 -1.249179999999999957e+00 5.173400000000000176e+01
4.937500000000000000e+06 -1.154379999999999962e+00 5.099199999999999733e+01
5.000000000000000000e+06 -2.120200000000000085e+00 5.078000000000000114e+01
5.062500000000000000e+06 -3.638199999999999878e+00 5.169400000000000261e+01
5.125000000000000000e+06 -4.883200000000000429e+00 5.389000000000000057e+01
5.187500000000000000e+06 -5.096799999999999997e+00 5.692600000000000193e+01
5.250000000000000000e+06 -4.008799999999999919e+00 5.996200000000000330e+01
5.312500000000000000e+06 -1.961699999999999999e+00 6.221000000000000085e+01
5.375000000000000000e+06 3.230199999999999738e-01 6.330599999999999739e+01
5.437500000000000000e+06 2.101399999999999935e+00 6.339800000000000324e+01
5.500000000000000000e+06 2.887399999999999967e+00 6.301599999999999824e+01
5.562500000000000000e+06 2.609599999999999920e+00 6.284599999999999653e+01
5.625000000000000000e+06 1.625199999999999978e+00 6.346000000000000085e+01
5.687500000000000000e+06 5.529600000000000071e-01 6.506000000000000227e+01
5.750000000000000000e+06 -4.373599999999999710e-02 6.739199999999999591e+01
5.812500000000000000e+06 5.613200000000000134e-02 6.992799999999999727e+01
5.875000000000000000e+06 6.592799999999999772e-01 7.216800000000000637e+01
5.937500000000000000e+06 1.311360000000000081e+00 7.390200000000000102e+01
6.000000000000000000e+06 1.548519999999999897e+00 7.528400000000000603e+01
6.062500000000000000e+06 1.129979999999999984e+00 7.674800000000000466e+01
6.125000000000000000e+06 1.827759999999999940e-01 7.880800000000000693e+01
6.187500000000000000e+06 -8.097199999999999953e-01 8.178400000000000603e+01
6.250000000000000000e+06 -1.225680000000000103e+00 8.556799999999999784e+01
6.312500000000000000e+06 -6.532599999999999518e-01 8.961799999999999500e+01
6.375000000000000000e+06 8.525000000000000355e-01 9.323399999999999466e+01
6.437500000000000000e+06 2.780600000000000183e+00 9.590200000000000102e+01
6.500000000000000000e+06 4.407000000000000028e+00 9.754600000000000648e+01
6.562500000000000000e+06 5.104400000000000048e+00 9.854999999999999716e+01
6.625000000000000000e+06 4.592800000000000438e+00 9.960800000000000409e+01
6.687500000000000000e+06 3.065199999999999925e+00 1.014680000000000035e+02
6.750000000000000000e+06 1.144120000000000026e+00 1.046320000000000050e+02
6.812500000000000000e+06 -3.524599999999999955e-01 1.091179999999999950e+02
6.875000000000000000e+06 -7.598599999999999799e-01 1.144419999999999931e+02
6.937500000000000000e+06 1.409860000000000002e-01 1.198160000000000025e+02
7.000000000000000000e+06 2.043000000000000149e+00 1.245100000000000051e+02
7.062500000000000000e+06 4.273399999999999643e+00 1.281599999999999966e+02
7.125000000000000000e+06 6.105400000000000382e+00 1.308959999999999866e+02
7.187500000000000000e+06 7.080000000000000071e+00 1.332680000000000007e+02
7.250000000000000000e+06 7.193200000000000038e+00 1.359519999999999982e+02
7.312500000000000000e+06 6.848399999999999821e+00 1.394399999999999977e+02
7.375000000000000000e+06 6.606200000000000294e+00 1.438360000000000127e+02
7.437500000000000000e+06 6.892000000000000348e+00 1.488959999999999866e+02
7.500000000000000000e+06 7.830199999999999605e+00 1.542299999999999898e+02
7.562500000000000000e+06 9.257400000000000517e+00 1.595459999999999923e+02
7.625000000000000000e+06 1.087020000000000053e+01 1.647980000000000018e+02
7.687500000000000000e+06 1.243619999999999948e+01 1.702220000000000084e+02
7.750000000000000000e+06 1.399060000000000059e+01 1.762259999999999991e+02
7.812500000000000000e+06 1.591799999999999926e+01 1.831339999999999861e+02
7.875000000000000000e+06 1.881660000000000110e+01 1.909279999999999973e+02
7.937500000000000000e+06 2.317200000000000060e+01 1.991380000000000052e+02
8.000000000000000000e+06 2.904799999999999827e+01 2.070399999999999920e+02
8.062500000000000000e+06 3.600000000000000000e+01 2.140399999999999920e+02
8.125000000000000000e+06 4.325000000000000000e+01 2.199000000000000057e+02
8.187500000000000000e+06 5.001200000000000045e+01 2.249600000000000080e+02
8.250000000000000000e+06 5.579800000000000182e+01 2.300600000000000023e+02
8.312500000000000000e+06 6.066799999999999926e+01 2.361999999999999886e+02
8.375000000000000000e+06 6.529000000000000625e+01 2.443400000000000034e+02
8.437500000000000000e+06 7.080200000000000671e+01 2.549000000000000057e+02
8.500000000000000000e+06 7.846399999999999864e+01 2.677400000000000091e+02
8.562500000000000000e+06 8.928400000000000603e+01 2.820400000000000205e+02
