# Impedance of C10-86 
# Multiple resonators fit for h=8
# Author: A. Lasheen
# f_r [Hz]				R_s [Ohm]				Q
1.765320189092373708e+06 -2.656245174279441557e+01 5.131629019953558135e+00
2.341818072577971034e+06 -9.601011718836775799e+01 3.554168630718457678e+00
2.865780253430956043e+06 -1.478615109446818963e+02 5.689683507001975116e+00
3.158981879326097667e+06 8.980071038159334762e+01 9.988405573106089008e+00
3.441912452109841630e+06 8.239483168572164686e+02 4.916459759045303635e+00
4.704492900564790703e+06 4.157297340121986053e+04 2.042964581390473544e+00
4.710020087693653069e+06 -4.113967918098415248e+04 2.028197361215185346e+00
6.940980146928400733e+06 9.328516559402613950e+01 6.439961479835304203e+00
8.633833181181941181e+06 -5.616914490634276547e+01 9.892395240477357632e+00
