# Impedance of C10-86 
# Multiple resonators fit for h=16
# Author: A. Lasheen
# f_r [Hz]				R_s [Ohm]				Q
7.015641026669155806e+06 -2.999864417409775719e+00 2.325921928799714156e+00
7.319597046203359030e+06 6.852891660270023522e+02 8.573620046593820376e+00
7.693087537731167860e+06 -8.710662999174240895e+01 2.568454299666146134e+00
7.892039984861792065e+06 3.572923071567909119e+02 6.757351419767467782e+00
8.573495106231965125e+06 3.653358900395140836e+02 7.738715052007007600e+00
1.282110451218997128e+07 -2.236574457157470079e+03 7.236772123796577638e-01
1.318833042674849927e+07 2.257361994140319894e+03 7.283790541816805852e-01
1.649296997733173892e+07 -7.962243426053309747e+01 9.918038372173507256e+00
2.074264478235568106e+07 -6.262438652353670676e+01 2.962851823173074717e+00
