# Impedance of C10-91 
# Multiple resonators fit for h=21
# Author: A. Lasheen
# f_r [Hz]				R_s [Ohm]				Q
9.711526511718748137e+06 1.072315522753446430e+03 8.203129377194098737e+00
1.043086260420919582e+07 -4.937623741066348884e+03 5.092318545626029369e+00
1.046523224825620838e+07 4.881624231112186862e+03 5.362049246850299156e+00
1.050277010353772715e+07 -1.903759592764195574e+01 4.944102515983491486e+00
1.051373208244604245e+07 8.842962153181455065e+00 4.925772004177955132e+00
1.053342614158724621e+07 5.862576694773215635e+00 4.895104655820046169e+00
1.054668916386052594e+07 6.468373868355879353e+00 4.847237525048606166e+00
2.048544223614655063e+07 6.422088398376462237e+01 4.128162304420332163e+00
2.059484366542552784e+07 -1.034331842099726089e+02 9.156728451374174682e+00
