# Impedance of C10-56 
# Measurement for h=8
# Author: G. Favia 
# Freq [Hz]		Re(Z) [Ohm]		Im(Z) [Ohm]
0.000000000000000000e+00 1.266160000000000036e+04 -0.000000000000000000e+00
6.250000000000000000e+04 2.198999999999999844e+01 2.957400000000000091e+02
1.250000000000000000e+05 1.537500000000000000e+01 1.452319999999999993e+02
1.875000000000000000e+05 1.206579999999999941e+01 9.402400000000000091e+01
2.500000000000000000e+05 8.315599999999999881e+00 6.795000000000000284e+01
3.125000000000000000e+05 3.551000000000000156e+00 5.240599999999999881e+01
3.750000000000000000e+05 -2.435400000000000009e+00 4.289399999999999835e+01
4.375000000000000000e+05 -9.598800000000000665e+00 3.804599999999999937e+01
5.000000000000000000e+05 -1.732720000000000127e+01 3.786999999999999744e+01
5.625000000000000000e+05 -2.385000000000000142e+01 4.273199999999999932e+01
6.250000000000000000e+05 -2.611400000000000077e+01 5.163199999999999790e+01
6.875000000000000000e+05 -2.195799999999999841e+01 6.053999999999999915e+01
7.500000000000000000e+05 -1.354700000000000060e+01 6.459600000000000364e+01
8.125000000000000000e+05 -5.872399999999999842e+00 6.282000000000000028e+01
8.750000000000000000e+05 -2.033999999999999808e+00 5.789000000000000057e+01
9.375000000000000000e+05 -2.313800000000000079e+00 5.275000000000000000e+01
1.000000000000000000e+06 -5.715600000000000236e+00 4.929200000000000159e+01
1.062500000000000000e+06 -1.085899999999999999e+01 4.857399999999999807e+01
1.125000000000000000e+06 -1.606139999999999901e+01 5.100000000000000000e+01
1.187500000000000000e+06 -1.946219999999999928e+01 5.594599999999999795e+01
1.250000000000000000e+06 -1.990980000000000061e+01 6.145600000000000307e+01
1.312500000000000000e+06 -1.814179999999999993e+01 6.515200000000000102e+01
1.375000000000000000e+06 -1.646320000000000050e+01 6.606000000000000227e+01
1.437500000000000000e+06 -1.697220000000000084e+01 6.512999999999999545e+01
1.500000000000000000e+06 -2.050799999999999912e+01 6.418399999999999750e+01
1.562500000000000000e+06 -2.682400000000000162e+01 6.496599999999999397e+01
1.625000000000000000e+06 -3.495400000000000063e+01 6.884799999999999898e+01
1.687500000000000000e+06 -4.330199999999999960e+01 7.668000000000000682e+01
1.750000000000000000e+06 -4.978199999999999648e+01 8.828799999999999670e+01
1.812500000000000000e+06 -5.269599999999999795e+01 1.019479999999999933e+02
1.875000000000000000e+06 -5.217199999999999704e+01 1.150100000000000051e+02
1.937500000000000000e+06 -5.042799999999999727e+01 1.258640000000000043e+02
2.000000000000000000e+06 -5.004599999999999937e+01 1.352079999999999984e+02
2.062500000000000000e+06 -5.225399999999999778e+01 1.452779999999999916e+02
2.125000000000000000e+06 -5.661399999999999721e+01 1.584919999999999902e+02
2.187500000000000000e+06 -6.142199999999999704e+01 1.766579999999999870e+02
2.250000000000000000e+06 -6.410399999999999920e+01 2.005000000000000000e+02
2.312500000000000000e+06 -6.181000000000000227e+01 2.291800000000000068e+02
2.375000000000000000e+06 -5.263199999999999790e+01 2.600199999999999818e+02
2.437500000000000000e+06 -3.703600000000000136e+01 2.896399999999999864e+02
2.500000000000000000e+06 -1.782120000000000104e+01 3.163199999999999932e+02
2.562500000000000000e+06 2.101799999999999891e+00 3.413000000000000114e+02
2.625000000000000000e+06 2.216199999999999903e+01 3.678999999999999773e+02
2.687500000000000000e+06 4.485399999999999920e+01 3.991000000000000227e+02
2.750000000000000000e+06 7.494599999999999795e+01 4.356600000000000250e+02
2.812500000000000000e+06 1.178179999999999978e+02 4.748000000000000114e+02
2.875000000000000000e+06 1.769600000000000080e+02 5.098000000000000114e+02
