# Impedance of C10-56 
# Measurement for h=21
# Author: G. Favia 
# Freq [Hz]		Re(Z) [Ohm]		Im(Z) [Ohm]
0.000000000000000000e+00 -1.288119999999999891e+03 -0.000000000000000000e+00
6.250000000000000000e+04 -3.254800000000000182e+01 2.116800000000000068e+02
1.250000000000000000e+05 -5.805399999999999672e+00 1.049879999999999995e+02
1.875000000000000000e+05 -1.300019999999999953e+00 6.679399999999999693e+01
2.500000000000000000e+05 -4.720599999999999796e-01 4.657200000000000273e+01
3.125000000000000000e+05 -1.041560000000000041e+00 3.373799999999999955e+01
3.750000000000000000e+05 -2.519000000000000128e+00 2.484400000000000119e+01
4.375000000000000000e+05 -4.762199999999999989e+00 1.864020000000000010e+01
5.000000000000000000e+05 -7.557599999999999874e+00 1.483339999999999925e+01
5.625000000000000000e+05 -1.025639999999999930e+01 1.353400000000000070e+01
6.250000000000000000e+05 -1.157879999999999932e+01 1.448680000000000057e+01
6.875000000000000000e+05 -1.037340000000000018e+01 1.621580000000000155e+01
7.500000000000000000e+05 -7.089400000000000368e+00 1.663639999999999830e+01
8.125000000000000000e+05 -3.518800000000000150e+00 1.491239999999999988e+01
8.750000000000000000e+05 -1.083320000000000061e+00 1.168379999999999974e+01
9.375000000000000000e+05 -2.696000000000000063e-01 7.974800000000000111e+00
1.000000000000000000e+06 -1.022860000000000102e+00 4.644599999999999618e+00
1.062500000000000000e+06 -3.004599999999999937e+00 2.403399999999999981e+00
1.125000000000000000e+06 -5.539799999999999613e+00 1.808999999999999941e+00
1.187500000000000000e+06 -7.589199999999999946e+00 2.971200000000000063e+00
1.250000000000000000e+06 -8.172399999999999665e+00 5.208999999999999631e+00
1.312500000000000000e+06 -7.065800000000000303e+00 7.303600000000000314e+00
1.375000000000000000e+06 -4.923000000000000043e+00 8.309799999999999187e+00
1.437500000000000000e+06 -2.691399999999999793e+00 7.998400000000000176e+00
1.500000000000000000e+06 -1.108899999999999997e+00 6.672600000000000087e+00
1.562500000000000000e+06 -5.958400000000000363e-01 4.868400000000000283e+00
1.625000000000000000e+06 -1.284340000000000037e+00 3.228400000000000158e+00
1.687500000000000000e+06 -2.956399999999999917e+00 2.433199999999999807e+00
1.750000000000000000e+06 -4.957600000000000229e+00 2.964599999999999902e+00
1.812500000000000000e+06 -6.402000000000000135e+00 4.735599999999999810e+00
1.875000000000000000e+06 -6.734399999999999942e+00 7.054199999999999804e+00
1.937500000000000000e+06 -6.054599999999999760e+00 9.137999999999999901e+00
2.000000000000000000e+06 -4.854400000000000048e+00 1.058699999999999974e+01
2.062500000000000000e+06 -3.609799999999999898e+00 1.140380000000000038e+01
2.125000000000000000e+06 -2.604999999999999982e+00 1.179119999999999990e+01
2.187500000000000000e+06 -1.936620000000000008e+00 1.199080000000000013e+01
2.250000000000000000e+06 -1.562219999999999942e+00 1.219740000000000002e+01
2.312500000000000000e+06 -1.360379999999999923e+00 1.250520000000000032e+01
2.375000000000000000e+06 -1.218140000000000001e+00 1.288640000000000008e+01
2.437500000000000000e+06 -1.120400000000000063e+00 1.324619999999999997e+01
2.500000000000000000e+06 -1.159040000000000070e+00 1.353359999999999985e+01
2.562500000000000000e+06 -1.449160000000000004e+00 1.380940000000000012e+01
2.625000000000000000e+06 -2.035600000000000076e+00 1.422439999999999927e+01
2.687500000000000000e+06 -2.846200000000000063e+00 1.494919999999999938e+01
2.750000000000000000e+06 -3.691399999999999793e+00 1.609059999999999846e+01
2.812500000000000000e+06 -4.319799999999999862e+00 1.760780000000000101e+01
2.875000000000000000e+06 -4.546599999999999753e+00 1.927639999999999887e+01
2.937500000000000000e+06 -4.395800000000000374e+00 2.078000000000000114e+01
3.000000000000000000e+06 -4.117600000000000371e+00 2.190800000000000125e+01
3.062500000000000000e+06 -4.038400000000000212e+00 2.268400000000000105e+01
3.125000000000000000e+06 -4.375600000000000378e+00 2.335399999999999920e+01
3.187500000000000000e+06 -5.141200000000000436e+00 2.424399999999999977e+01
3.250000000000000000e+06 -6.126999999999999780e+00 2.565399999999999991e+01
3.312500000000000000e+06 -6.935800000000000409e+00 2.771600000000000108e+01
3.375000000000000000e+06 -7.090600000000000236e+00 3.026399999999999935e+01
3.437500000000000000e+06 -6.275999999999999801e+00 3.278399999999999892e+01
3.500000000000000000e+06 -4.621000000000000441e+00 3.459199999999999875e+01
3.562500000000000000e+06 -2.731399999999999828e+00 3.524199999999999733e+01
3.625000000000000000e+06 -1.350819999999999910e+00 3.482000000000000028e+01
3.687500000000000000e+06 -9.626000000000000112e-01 3.383599999999999852e+01
3.750000000000000000e+06 -1.637659999999999894e+00 3.293200000000000216e+01
3.812500000000000000e+06 -3.101799999999999891e+00 3.263000000000000256e+01
3.875000000000000000e+06 -4.866999999999999993e+00 3.320600000000000307e+01
3.937500000000000000e+06 -6.381400000000000183e+00 3.462599999999999767e+01
4.000000000000000000e+06 -7.220600000000000129e+00 3.653000000000000114e+01
4.062500000000000000e+06 -7.281600000000000072e+00 3.836999999999999744e+01
4.125000000000000000e+06 -6.846799999999999997e+00 3.967999999999999972e+01
4.187500000000000000e+06 -6.434000000000000163e+00 4.030799999999999983e+01
4.250000000000000000e+06 -6.517800000000000260e+00 4.049399999999999977e+01
4.312500000000000000e+06 -7.288800000000000168e+00 4.074000000000000199e+01
4.375000000000000000e+06 -8.551199999999999690e+00 4.157200000000000273e+01
4.437500000000000000e+06 -9.779600000000000293e+00 4.326800000000000068e+01
4.500000000000000000e+06 -1.035060000000000002e+01 4.567999999999999972e+01
4.562500000000000000e+06 -9.881000000000000227e+00 4.824199999999999733e+01
4.625000000000000000e+06 -8.471600000000000463e+00 5.025399999999999778e+01
4.687500000000000000e+06 -6.661599999999999966e+00 5.125399999999999778e+01
4.750000000000000000e+06 -5.142400000000000304e+00 5.122800000000000153e+01
4.812500000000000000e+06 -4.462200000000000166e+00 5.056400000000000006e+01
4.875000000000000000e+06 -4.849999999999999645e+00 4.988199999999999790e+01
4.937500000000000000e+06 -6.150400000000000311e+00 4.984000000000000341e+01
5.000000000000000000e+06 -7.834600000000000009e+00 5.091799999999999926e+01
5.062500000000000000e+06 -9.135400000000000631e+00 5.318999999999999773e+01
5.125000000000000000e+06 -9.360400000000000276e+00 5.620199999999999818e+01
5.187500000000000000e+06 -8.272000000000000242e+00 5.911200000000000188e+01
5.250000000000000000e+06 -6.254999999999999893e+00 6.112199999999999989e+01
5.312500000000000000e+06 -4.107599999999999696e+00 6.188000000000000256e+01
5.375000000000000000e+06 -2.636600000000000055e+00 6.160600000000000165e+01
5.437500000000000000e+06 -2.330000000000000071e+00 6.093599999999999994e+01
5.500000000000000000e+06 -3.216000000000000192e+00 6.063400000000000034e+01
5.562500000000000000e+06 -4.879199999999999982e+00 6.133200000000000074e+01
5.625000000000000000e+06 -6.619799999999999685e+00 6.329399999999999693e+01
5.687500000000000000e+06 -7.730000000000000426e+00 6.630200000000000671e+01
5.750000000000000000e+06 -7.798199999999999577e+00 6.976600000000000534e+01
5.812500000000000000e+06 -6.871800000000000352e+00 7.299599999999999511e+01
5.875000000000000000e+06 -5.394800000000000040e+00 7.550799999999999557e+01
5.937500000000000000e+06 -3.978000000000000203e+00 7.720199999999999818e+01
