# Impedance of C10-36 
# Multiple resonators fit for h=21
# Author: A. Lasheen
# f_r [Hz]				R_s [Ohm]				Q
9.283555556324115023e+06 -6.759888198698656652e+02 1.000000000000000000e+01
9.518482526391755790e+06 2.438885205585213498e+03 8.017333540266712077e+00
9.701017276203917339e+06 -1.027311120454164893e+03 5.233153326898200675e+00
1.033019137060009316e+07 2.725566728620402159e+02 8.263084015389038584e+00
1.910133787014530599e+07 5.181936629617625556e+01 9.360052321638788086e+00
1.973737813329163566e+07 -6.868370237585193649e+01 9.863651743490454038e+00
2.461642353707019985e+07 -1.679117322707203597e+00 9.422535359643896546e-01
2.573248019555382803e+07 -1.189625275970982443e+01 9.997106387550445561e+00
2.891965951078006253e+07 2.804923484241960097e+01 1.257393176533657231e+00
