# Impedance of C10-36 
# Multiple resonators fit for h=16
# Author: A. Lasheen
# f_r [Hz]				R_s [Ohm]				Q
4.814529535741670989e+06 2.982604857813218132e+03 1.146147006171613691e+00
4.831083633677428588e+06 -3.012813855443745524e+03 1.128306438281626578e+00
6.810997449031949975e+06 -2.117604553861945504e+01 9.691537655642019189e+00
7.157309573564209975e+06 3.469728679627945098e+02 9.788489861984325913e+00
7.415795046239601448e+06 6.636184556843835480e+02 9.858742453883234447e+00
7.872418118586443365e+06 3.081827623819876862e+02 8.891355596636081771e+00
1.494489278135740384e+07 6.377603721252908286e+01 4.241812946910388682e+00
1.539256826535020210e+07 -7.723268169978322817e+01 9.935055413675032199e+00
3.024875881607039645e+07 3.403039001238521166e+01 2.121618796354310721e+00
