# Impedance of C10-46 
# Measurement for h=21
# Author: G. Favia 
# Freq [Hz]		Re(Z) [Ohm]		Im(Z) [Ohm]
1.875000000000000000e+06 -8.072599999999999554e+00 1.194660000000000011e+01
1.937500000000000000e+06 -4.514800000000000146e+00 1.521979999999999933e+01
2.000000000000000000e+06 -7.723799999999999555e-01 1.623880000000000123e+01
2.062500000000000000e+06 1.901219999999999910e+00 1.557060000000000066e+01
2.125000000000000000e+06 2.937199999999999811e+00 1.415719999999999956e+01
2.187500000000000000e+06 2.319799999999999862e+00 1.293800000000000061e+01
2.250000000000000000e+06 4.737399999999999944e-01 1.268859999999999921e+01
2.312500000000000000e+06 -1.814279999999999893e+00 1.382900000000000063e+01
2.375000000000000000e+06 -3.651800000000000157e+00 1.620060000000000144e+01
2.437500000000000000e+06 -4.506400000000000183e+00 1.910060000000000002e+01
2.500000000000000000e+06 -4.499200000000000088e+00 2.173999999999999844e+01
2.562500000000000000e+06 -4.199200000000000266e+00 2.374200000000000088e+01
2.625000000000000000e+06 -4.152800000000000047e+00 2.527199999999999847e+01
2.687500000000000000e+06 -4.551199999999999690e+00 2.679599999999999937e+01
2.750000000000000000e+06 -5.141200000000000436e+00 2.876399999999999935e+01
2.812500000000000000e+06 -5.343799999999999883e+00 3.128600000000000136e+01
2.875000000000000000e+06 -4.592399999999999594e+00 3.393999999999999773e+01
2.937500000000000000e+06 -2.783399999999999874e+00 3.589200000000000301e+01
3.000000000000000000e+06 -4.861800000000000010e-01 3.640400000000000347e+01
3.062500000000000000e+06 1.331620000000000026e+00 3.529599999999999937e+01
3.125000000000000000e+06 1.795080000000000009e+00 3.303399999999999892e+01
3.187500000000000000e+06 4.462800000000000100e-01 3.049800000000000111e+01
3.250000000000000000e+06 -2.648400000000000087e+00 2.870599999999999952e+01
3.312500000000000000e+06 -6.864799999999999791e+00 2.857000000000000028e+01
3.375000000000000000e+06 -1.105620000000000047e+01 3.057799999999999940e+01
3.437500000000000000e+06 -1.384559999999999924e+01 3.441599999999999682e+01
3.500000000000000000e+06 -1.427960000000000029e+01 3.885399999999999920e+01
3.562500000000000000e+06 -1.246260000000000012e+01 4.227199999999999847e+01
3.625000000000000000e+06 -9.537200000000000344e+00 4.354999999999999716e+01
3.687500000000000000e+06 -7.006400000000000183e+00 4.258599999999999852e+01
3.750000000000000000e+06 -6.015600000000000058e+00 4.016599999999999682e+01
3.812500000000000000e+06 -7.001599999999999824e+00 3.750200000000000244e+01
3.875000000000000000e+06 -9.648600000000000065e+00 3.578600000000000136e+01
3.937500000000000000e+06 -1.302800000000000047e+01 3.580400000000000205e+01
4.000000000000000000e+06 -1.592880000000000074e+01 3.762599999999999767e+01
4.062500000000000000e+06 -1.736019999999999897e+01 4.056000000000000227e+01
4.125000000000000000e+06 -1.700560000000000116e+01 4.346399999999999864e+01
4.187500000000000000e+06 -1.534220000000000006e+01 4.528399999999999892e+01
4.250000000000000000e+06 -1.337340000000000018e+01 4.552199999999999847e+01
4.312500000000000000e+06 -1.217559999999999931e+01 4.440599999999999881e+01
4.375000000000000000e+06 -1.245780000000000065e+01 4.278399999999999892e+01
4.437500000000000000e+06 -1.424239999999999995e+01 4.178199999999999648e+01
4.500000000000000000e+06 -1.679420000000000002e+01 4.229999999999999716e+01
4.562500000000000000e+06 -1.895619999999999905e+01 4.450800000000000267e+01
4.625000000000000000e+06 -1.978760000000000119e+01 4.775800000000000267e+01
4.687500000000000000e+06 -1.904779999999999873e+01 5.100000000000000000e+01
4.750000000000000000e+06 -1.720100000000000051e+01 5.335999999999999943e+01
4.812500000000000000e+06 -1.507579999999999920e+01 5.447399999999999665e+01
4.875000000000000000e+06 -1.349280000000000079e+01 5.452799999999999869e+01
4.937500000000000000e+06 -1.299339999999999939e+01 5.413000000000000256e+01
5.000000000000000000e+06 -1.365380000000000038e+01 5.409400000000000119e+01
5.062500000000000000e+06 -1.500580000000000069e+01 5.513000000000000256e+01
5.125000000000000000e+06 -1.619099999999999895e+01 5.747399999999999665e+01
5.187500000000000000e+06 -1.639499999999999957e+01 6.070000000000000284e+01
5.250000000000000000e+06 -1.531819999999999915e+01 6.393399999999999750e+01
5.312500000000000000e+06 -1.331840000000000046e+01 6.634799999999999898e+01
5.375000000000000000e+06 -1.116300000000000026e+01 6.756399999999999295e+01
5.437500000000000000e+06 -9.643599999999999284e+00 6.775400000000000489e+01
5.500000000000000000e+06 -9.264400000000000190e+00 6.749800000000000466e+01
5.562500000000000000e+06 -1.007659999999999911e+01 6.753199999999999648e+01
5.625000000000000000e+06 -1.167859999999999943e+01 6.845199999999999818e+01
5.687500000000000000e+06 -1.341319999999999979e+01 7.044799999999999329e+01
5.750000000000000000e+06 -1.469800000000000040e+01 7.325000000000000000e+01
5.812500000000000000e+06 -1.530540000000000056e+01 7.631000000000000227e+01
5.875000000000000000e+06 -1.542500000000000071e+01 7.912600000000000477e+01
5.937500000000000000e+06 -1.550859999999999950e+01 8.148799999999999955e+01
6.000000000000000000e+06 -1.601180000000000092e+01 8.356000000000000227e+01
6.062500000000000000e+06 -1.713719999999999999e+01 8.580400000000000205e+01
6.125000000000000000e+06 -1.867299999999999827e+01 8.873000000000000398e+01
6.187500000000000000e+06 -2.003999999999999915e+01 9.256799999999999784e+01
6.250000000000000000e+06 -2.060000000000000142e+01 9.704000000000000625e+01
6.312500000000000000e+06 -2.006599999999999895e+01 1.014519999999999982e+02
6.375000000000000000e+06 -1.870019999999999882e+01 1.050720000000000027e+02
6.437500000000000000e+06 -1.717980000000000018e+01 1.074920000000000044e+02
6.500000000000000000e+06 -1.629420000000000002e+01 1.088080000000000069e+02
6.562500000000000000e+06 -1.664600000000000080e+01 1.095559999999999974e+02
6.625000000000000000e+06 -1.843280000000000030e+01 1.105600000000000023e+02
6.687500000000000000e+06 -2.132799999999999940e+01 1.126520000000000010e+02
6.750000000000000000e+06 -2.453399999999999892e+01 1.163400000000000034e+02
6.812500000000000000e+06 -2.707799999999999940e+01 1.215439999999999969e+02
6.875000000000000000e+06 -2.823400000000000176e+01 1.275979999999999990e+02
6.937500000000000000e+06 -2.785600000000000165e+01 1.335519999999999925e+02
7.000000000000000000e+06 -2.638800000000000168e+01 1.385980000000000132e+02
7.062500000000000000e+06 -2.465200000000000102e+01 1.423880000000000052e+02
7.125000000000000000e+06 -2.348199999999999932e+01 1.451320000000000050e+02
7.187500000000000000e+06 -2.340200000000000102e+01 1.475039999999999907e+02
